@relation 'resume_p2final-weka.filters.unsupervised.attribute.Remove-R1,3,5,6,7,9-weka.filters.unsupervised.attribute.NumericToNominal-R4'

@attribute salary_last numeric
@attribute workmonth numeric
@attribute salary_exp numeric
@attribute position {1,2,3,4,5}

@data
4001,46,4001,3
2001,2,4001,3
15000,120,15000,3
2001,96,8001,3
6001,7,6001,3
2001,2,2001,3
2001,7,4001,3
4001,12,4001,3
2001,24,2001,3
4001,2,2001,3
2001,6,2001,3
4001,36,2001,3
4001,39,6001,3
6001,22,6001,3
10001,111,15000,3
4001,12,4001,3
6001,34,8001,3
4001,19,6001,3
6001,34,10001,3
4001,4,4001,3
4001,12,6001,3
10001,28,10001,3
10001,22,10001,3
4001,11,4001,3
4001,37,2001,3
2001,5,8001,3
4001,67,4001,3
4001,39,4001,3
6001,94,6001,3
2001,1,2001,3
4001,70,4001,3
4001,46,2001,3
8001,55,10001,3
2001,104,4001,3
6001,67,8001,3
6001,34,8001,3
8001,100,8001,3
2001,5,4001,3
6001,44,6001,3
6001,134,6001,3
4001,30,4001,3
2001,5,2001,3
10001,138,10001,3
10001,48,15000,3
8001,54,6001,3
8001,183,8001,4
6001,51,4001,3
6001,125,8001,3
4001,20,4001,3
2001,5,2001,3
8001,149,10001,4
10001,16,15000,4
4001,23,4001,3
4001,5,6001,3
4001,14,2001,3
2001,4,2001,2
6001,27,6001,3
2001,9,2001,3
6001,35,6001,3
2001,5,4001,3
4001,16,2001,3
4001,59,4001,3
4001,15,4001,3
10001,33,8001,3
4001,11,4001,3
8001,23,10001,3
10001,59,10001,3
6001,26,6001,3
4001,81,6001,3
2001,4,2001,3
4001,11,4001,3
4001,62,4001,3
2001,7,2001,3
2001,51,2001,3
10001,432,15000,4
4001,24,4001,3
6001,44,8001,3
2001,7,2001,3
4001,78,4001,3
8001,83,10001,3
6001,72,6001,3
4001,59,4001,3
6001,242,6001,3
8001,280,8001,3
6001,155,4001,3
8001,93,8001,3
8001,86,4001,3
2001,14,4001,3
2001,40,2001,3
2001,6,2001,3
2001,28,2001,3
6001,101,8001,2
6001,123,6001,3
4001,54,4001,3
4001,41,6001,3
8001,8,8001,3
2001,23,2001,3
2001,17,2001,3
6001,74,6001,3
6001,9,6001,3
4001,32,4001,3
4001,36,6001,3
4001,29,6001,3
2001,12,4001,3
4001,108,4001,3
2001,182,2001,3
4001,21,4001,3
2001,19,2001,3
4001,29,4001,3
2001,5,2001,3
2001,21,2001,2
2001,8,4001,3
2001,5,4001,3
4001,15,4001,3
4001,65,4001,2
2001,12,4001,4
8001,41,8001,3
8001,5,6001,3
2001,29,2001,3
6001,18,6001,3
4001,8,4001,2
4001,9,4001,3
6001,15,6001,3
4001,32,4001,3
4001,84,6001,3
2001,1,4001,3
2001,8,4001,3
8001,154,10001,3
2001,5,4001,4
10001,28,10001,3
10001,27,10000,3
8000,22,6000,3
2001,2,2001,3
4001,63,6001,3
4001,51,4001,3
4001,70,4001,3
4001,6,6001,3
4001,35,8001,3
4001,108,4001,3
4001,5,4001,3
2001,10,2001,3
2001,13,4001,3
6001,43,6001,3
8001,131,8001,3
4001,1,2001,3
2001,3,2001,3
4001,72,6001,3
2001,30,4001,3
2001,2,2001,3
4001,26,8001,3
2001,42,2001,3
4001,39,4001,3
6001,4,6001,3
4001,11,2001,3
4001,15,4001,3
4001,4,6001,3
6001,22,8001,3
4001,13,6001,3
4001,51,4001,3
2001,28,2001,3
4001,12,6001,3
2001,37,4001,3
6001,80,4001,3
4001,81,6001,3
2001,1,2001,3
2001,36,4001,3
4001,18,4001,3
2001,35,4001,3
8001,42,10001,3
4001,4,4001,3
4001,33,4001,3
4001,12,4001,3
4001,29,4001,3
4001,26,4001,3
2001,40,2001,1
6001,86,6001,3
4001,17,4001,3
4001,43,2001,3
2001,6,2001,3
4001,64,4001,3
2001,28,4001,3
2001,12,4001,3
4001,40,4001,3
4001,7,4001,3
6001,19,6001,3
10001,40,8001,3
10001,19,10001,3
4001,52,4001,3
6001,26,10001,3
4001,17,4001,3
2001,21,2001,3
4001,12,2001,3
10001,16,8001,3
2001,5,2001,3
2001,7,2001,2
2001,2,4001,3
4001,6,4001,3
2001,18,2001,3
2001,20,2001,3
10001,9,10001,3
8001,67,8000,3
4001,5,6001,3
10001,20,10001,3
2001,37,10001,3
15000,132,15000,3
4001,15,4001,3
4001,42,2001,3
6001,92,6001,3
2001,28,2001,3
4001,17,6001,3
2001,14,2001,3
6001,24,8000,3
10001,22,10000,4
4001,13,6001,4
4001,28,6001,3
2001,1,2001,3
2001,31,2001,3
6001,16,6001,3
2001,34,2001,3
4001,11,6001,3
2001,4,2001,3
4001,2,4001,3
4001,49,4001,3
6001,16,4001,3
2001,15,2001,3
10001,59,15000,3
8001,8,8001,3
10001,33,10001,3
2001,4,4001,3
4001,18,6001,3
4001,21,4001,3
4001,22,2001,3
2001,61,4001,3
6001,29,6001,3
2001,7,2001,3
8001,40,10001,3
8001,78,10001,3
4001,17,8001,3
4001,18,6001,3
2001,14,4001,3
8001,91,10001,4
10001,13,4500,3
4001,61,4001,3
2001,112,2001,3
4001,67,6001,3
4001,18,4001,3
4001,69,2001,3
2001,13,2001,3
4001,41,4001,3
4001,204,4001,3
8001,97,6001,3
2001,8,4001,3
4001,49,4001,3
8001,16,8001,3
2001,34,2001,3
15000,120,15000,3
8001,73,8001,3
6001,32,8001,3
2001,6,2001,3
4001,9,4001,3
15000,146,15000,3
4001,49,2001,3
10001,84,15000,3
10001,49,10001,3
10001,158,15000,3
8001,43,15000,3
10001,42,8001,3
10001,77,10001,3
6001,101,6001,3
4001,13,6001,3
10001,37,15000,3
10001,43,10001,3
4001,8,2001,3
4001,26,4001,3
8001,46,4001,3
4001,9,6001,3
2001,24,2001,3
2001,36,2001,3
2001,52,2001,3
4001,31,4001,3
4001,10,6001,3
4001,44,4001,3
4001,92,4001,2
2001,11,2001,3
4001,31,2001,3
4001,35,4001,3
4001,53,4001,3
2001,35,4001,3
10001,122,15000,3
2001,4,2001,3
6001,22,8001,3
4001,7,4001,3
8001,96,10001,3
10001,74,10001,3
8001,21,8001,3
6001,15,8001,3
4001,172,2001,3
2001,31,2001,3
6001,294,4001,3
4001,20,4001,3
2001,4,4001,3
6001,36,6001,3
4001,44,4001,3
2001,92,4001,3
6001,42,2001,3
4001,281,8001,3
15000,191,15000,4
8001,402,10001,3
8001,11,8001,4
4001,14,8001,3
10001,162,8001,4
2001,5,4001,3
6001,80,8001,3
2001,49,2001,3
2001,5,4001,3
2001,22,4001,3
2001,18,2001,3
2001,3,4001,3
2001,10,2001,3
8001,22,10001,3
2001,7,4001,2
2001,38,2001,2
4001,9,4001,3
2001,35,4001,3
2001,8,4001,3
2001,22,2001,3
4001,59,4001,3
4001,12,6001,3
4001,19,6001,3
6001,16,8001,3
10001,36,10001,3
2001,15,4001,3
4001,19,6001,3
6001,16,6001,3
4001,16,6001,3
6001,9,6001,3
2001,10,6001,3
4001,22,6001,3
2001,8,6001,3
4001,84,4001,3
2001,28,2001,3
4001,162,4001,3
6001,38,6001,3
6001,23,6001,3
6001,6,6001,3
8001,22,8001,3
8001,12,8001,3
4001,109,4001,3
10001,20,10001,3
4001,6,4001,3
8001,47,15000,3
2001,4,4001,3
2001,5,4001,3
2001,5,4001,3
4001,8,4001,3
6001,5,4001,3
6001,5,4001,3
6001,13,8001,3
8001,21,10001,3
2001,1,4001,3
4001,33,4001,3
2001,17,10001,3
6001,104,6001,2
4001,17,4001,3
2001,26,4001,3
10001,60,8001,3
2001,28,2001,3
4001,22,6001,3
2001,19,2001,3
15000,65,15000,3
10001,29,10001,3
4001,6,4001,3
4001,6,4001,3
10001,50,15000,3
8001,9,8001,3
4001,15,6001,3
4001,21,4001,3
4001,16,4001,3
4001,12,6001,3
2001,5,4001,3
2001,9,4001,3
2001,15,2001,3
15000,157,15000,3
2001,2,2001,3
4001,59,4001,3
10001,17,15000,3
10001,103,10001,4
8001,19,8001,4
8001,55,15000,3
6001,100,10001,3
4001,33,2001,3
10001,84,10001,3
15000,209,15000,3
10001,66,10001,3
8001,45,15000,3
15000,126,15000,4
15000,60,15000,3
6001,13,8000,3
8001,28,8001,3
2001,12,2001,3
10001,26,10001,3
6001,16,10001,3
6001,11,8001,3
6001,22,8001,3
6001,14,8001,3
8001,19,10000,3
6001,14,8001,3
4001,30,6001,3
4001,5,4001,3
4001,17,4001,3
2001,30,2001,3
4001,52,2001,3
6000,53,7000,3
4001,65,4001,3
4001,5,4001,3
4001,12,6001,3
8001,25,8000,3
2001,4,2001,3
2001,24,2001,3
2001,11,2001,3
2001,12,5000,3
2001,11,2001,3
4001,24,4001,3
8001,78,10001,3
10001,85,15000,3
10001,91,10001,3
4001,33,2001,1
4001,64,2001,4
6001,12,8000,3
10001,66,15000,3
6001,71,6001,3
2001,236,6001,3
2001,11,4001,3
2001,11,4001,3
2001,9,4001,3
2001,3,2001,3
4001,11,8001,3
4001,7,4001,3
2001,3,4001,3
2001,27,2001,3
6001,17,6000,3
4001,19,4001,3
2001,12,2001,3
4001,146,2001,3
2001,38,2001,3
4001,17,4001,3
6001,31,6001,3
4001,51,10001,4
10001,28,10001,3
2001,40,2001,2
6001,10,6001,3
2001,31,6001,3
4001,3,4001,3
2001,1,2001,3
4001,41,6001,3
4001,33,6001,3
4001,11,2001,3
4001,12,15000,3
4001,54,6001,3
4001,12,4001,3
8001,16,10001,3
10001,25,8001,3
4001,12,6001,3
6001,16,8001,3
2001,13,2001,3
4001,13,6001,3
8001,20,10001,3
6001,182,6001,3
6001,12,8001,3
10001,27,15000,3
4001,7,4001,2
6001,10,6001,3
10001,61,15000,3
6001,4,6001,3
4001,17,6001,3
2001,24,2001,3
6001,25,8001,3
2001,26,6001,3
6001,5,6001,3
6001,23,6001,3
4001,10,4001,3
4001,24,4001,3
4001,8,4001,3
4001,5,4001,3
2001,2,2001,3
2001,12,4001,3
4001,27,4001,3
4001,55,4001,3
4001,11,2001,3
4001,10,4001,3
6001,10,6001,3
4001,92,4001,3
4001,185,4001,3
6001,13,10000,3
2001,4,6001,3
2001,59,2001,3
2001,17,2001,2
6001,36,8000,3
6001,66,6001,3
8001,18,8000,3
4001,4,4001,3
4001,15,8001,3
10001,28,10001,3
4001,8,4001,3
2001,8,4001,3
2001,4,2001,3
2001,17,2001,3
2001,128,2001,3
2001,1,4001,3
4001,13,6001,3
4001,9,4001,3
4001,14,4001,3
2001,23,4001,3
2001,10,8001,3
4001,12,4001,3
6001,5,6001,3
8001,28,6001,3
4001,8,4001,3
4001,4,4001,3
2001,29,4001,3
2001,29,4001,3
2001,18,2001,3
4001,58,4001,3
6001,32,6001,3
2001,24,2001,3
8001,23,6001,3
6001,104,6001,3
4001,47,4001,3
2001,70,2001,3
4001,5,2001,3
4001,17,6001,3
2001,1,4001,3
8001,6,8001,3
6001,65,8001,3
4001,14,4001,3
4001,25,4001,3
6001,20,6001,3
4001,17,2001,3
4001,3,4001,3
10001,92,8001,3
4001,5,4001,3
6001,19,4001,3
4001,4,4001,3
4001,6,4001,3
6001,22,6001,3
2001,3,2001,3
2001,3,4001,3
4001,51,4001,4
4001,31,2001,3
6001,5,2001,3
4001,42,4001,3
6001,67,4001,3
2001,2,2001,3
6001,18,4001,3
6001,4,6000,3
6001,13,6001,3
6001,31,4001,3
4001,14,8001,3
4001,7,6001,3
4001,5,4001,3
4001,19,4001,3
4001,28,4001,3
4001,26,6001,3
15000,120,15000,4
4001,76,9000,4
4001,13,4001,3
4001,3,4001,3
4001,30,10001,3
4001,37,4001,3
2001,50,4001,3
4001,22,4001,3
6001,16,8000,3
2001,14,4001,3
4001,17,4001,3
4001,24,4001,3
4001,20,4001,2
4001,9,4001,3
4001,17,8001,3
2001,5,2001,3
2001,4,2001,3
4001,97,4001,3
6001,5,6001,3
4001,22,4001,3
4001,11,4001,3
2001,0,2001,3
4001,15,4001,3
4001,6,6001,3
2001,11,4001,3
8001,53,8001,3
2001,5,2001,3
